scenario_id,case_label,study_id,study_title,base_scenario_id,x_label,x_value
P0,谷价1.0倍/峰价1.0倍,electricity_price_spread_sensitivity,电价峰谷差敏感性,S5,峰谷价差指数,1.0
P1,谷价0.9倍/峰价1.1倍,electricity_price_spread_sensitivity,电价峰谷差敏感性,S5,峰谷价差指数,1.2222222222222223
P2,谷价0.8倍/峰价1.2倍,electricity_price_spread_sensitivity,电价峰谷差敏感性,S5,峰谷价差指数,1.4999999999999998
P3,谷价0.7倍/峰价1.3倍,electricity_price_spread_sensitivity,电价峰谷差敏感性,S5,峰谷价差指数,1.8571428571428574
P4,谷价0.6倍/峰价1.5倍,electricity_price_spread_sensitivity,电价峰谷差敏感性,S5,峰谷价差指数,2.5
