robust_day_id,typical_day_id,uncertainty_case_id,weight_days,total_cost_cny,grid_purchase_kwh,grid_sell_kwh,renewable_available_kwh,renewable_used_kwh,renewable_sold_kwh,renewable_curtailment_kwh,renewable_consumption_rate,green_power_share,electricity_demand_kwh,carbon_emission_kg,heat_pump_heat_kwh,gas_boiler_heat_kwh,h2_production_kg,h2_external_supply_kg,fuel_cell_generation_kwh,weighted_total_cost_cny,weighted_grid_purchase_kwh,weighted_grid_sell_kwh,weighted_electricity_demand_kwh,weighted_green_power_kwh,weighted_carbon_emission_kg,weighted_heat_pump_heat_kwh,weighted_h2_production_kg
TD_SUMMER__EXTREME,TD_SUMMER,EXTREME,120.0,2649163.164058386,2679768.3720710305,0.0,2617860.0,2617860.0,0.0,0.0,1.0,0.4893141508800668,5350059.865,2148781.4675701694,413252.73,1365092.55,17797.280721728963,13651.819957260295,0.0,317899579.6870063,321572204.6485237,0.0,642007183.8000001,314143200.0,257853776.1084203,49590327.599999994,2135673.6866074754
TD_WINTER__EXTREME,TD_WINTER,EXTREME,120.0,3054110.4005775936,2691104.7654909524,0.0,2617860.0,2617860.0,0.0,0.0,1.0,0.4878572497187594,5366036.89195794,2440526.5938530955,1399266.3812817768,2602010.4987182235,17907.03140924192,13542.126621541236,0.0,366493248.06931126,322932571.8589143,0.0,643924427.0349528,314143200.0,292863191.2623715,167911965.7538132,2148843.7691090307
TD_TRANSITION__EXTREME,TD_TRANSITION,EXTREME,125.0,2517626.450857451,2295156.580920973,13193.749293303292,2617860.0,2604666.250706697,13193.749293303292,0.0,0.9949601012684777,0.5236076269136205,4974462.01473377,2030538.0871804706,670085.7578455136,1997432.162154486,18922.030698850485,12527.359696644848,0.0,314703306.3571814,286894572.6151216,1649218.6616629115,621807751.8417213,325583281.3383371,253817260.8975588,83760719.7306892,2365253.837356311
