capacity_variable,capacity_name,unit,capacity_value
wind_capacity_kw,风电装机,kW,0.0
pv_capacity_kw,光伏装机,kW,2000000.0
battery_power_capacity_kw,电池功率,kW,44179.27108660647
battery_energy_capacity_kwh,电池容量,kWh,78567.56116431617
electrolyzer_power_capacity_kw,电解槽功率,kW,200000.0
h2_storage_capacity_kg,储氢容量,kg,9812.101773920966
fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
heat_pump_power_capacity_kw,热泵功率,kW,37234.08141339345
