capacity_variable,capacity_name,unit,capacity_value
wind_capacity_kw,风电装机,kW,22927.262578783455
pv_capacity_kw,光伏装机,kW,6479.271823247673
battery_power_capacity_kw,电池功率,kW,274.3609405637612
battery_energy_capacity_kwh,电池容量,kWh,521.2857870711462
electrolyzer_power_capacity_kw,电解槽功率,kW,3430.337223733028
h2_storage_capacity_kg,储氢容量,kg,407.87026666828876
fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
heat_pump_power_capacity_kw,热泵功率,kW,3217.5
