case_id,carbon_cap_ratio,annual_carbon_cap_kg,status,annual_operation_cost_cny,annualized_investment_cost_cny,annual_demand_charge_cost_cny,annual_fuel_cell_backup_value_cny,annual_total_cost_cny,annual_grid_cost_cny,annual_grid_sell_revenue_cny,annual_gas_cost_cny,annual_carbon_cost_cny,annual_grid_purchase_kwh,annual_carbon_emission_kg,annual_renewable_available_kwh,annual_renewable_used_kwh,annual_renewable_consumption_rate,green_power_min_share,annual_green_power_share,annual_electricity_demand_kwh,annual_green_power_kwh,annual_h2_external_supply_kg,annual_grid_sell_kwh,grid_import_peak_kw,fuel_cell_backup_capacity_kw,cost_increase_vs_baseline_pct,carbon_reduction_vs_baseline_pct
CARBON_CAP_100,1.0,724928073.5643535,optimal,587844409.1541024,710498963.5399134,68900662.2292784,-0.0,1367244034.9232943,426725626.09364367,5062372.168237581,100814731.66278173,45206514.66747308,950739081.2351115,724928073.5643535,1056651344.4053938,1038756780.3607223,0.9830648357763258,0.5,0.4999999999999999,2077513560.721445,1038756780.3607223,0.0,17894564.044671547,175052.49550121542,-0.0,0.0,0.0
CARBON_CAP_090,0.9,652435266.2079182,optimal,502568835.85389304,817156542.887996,73354720.55102314,-0.0,1393080099.2929122,402537727.91899276,439054.8973315686,26773884.494824745,40685863.20072576,923995647.5639987,652435266.207918,1167455383.703047,1165903404.5679054,0.9986706308807974,0.5,0.5094284948724377,2288649764.006332,1165903404.5679054,0.0,1551979.1351416353,186368.700586949,-0.0,1.8896454261047408,10.00000000000001
CARBON_CAP_080,0.8,579942458.8514827,optimal,449386557.4308621,916071489.9637376,70604981.01857609,-0.0,1436063028.4131758,350393539.86430985,1043713.1007755268,24702143.86027166,36165211.73397849,820364607.1565608,579942458.8514833,1283481575.6687126,1279792239.8582654,0.9971255249156771,0.5,0.5418178673607583,2362034028.320705,1279792239.8582654,0.0,3689335.8104472496,179382.5737260571,-0.0,5.033409671722754,19.999999999999922
CARBON_CAP_070,0.7,507449651.4950474,optimal,425905395.13657814,990637458.1204706,69548427.72531931,-0.0,1486091280.9823682,287895900.883595,439054.8973315768,37101186.7701471,31644560.267231133,701273823.4241964,507449651.495047,1365027000.0,1363475020.8648584,0.9988630414379045,0.5,0.5681948310079352,2399661078.3068113,1363475020.8648584,499245.9886419007,1551979.1351416642,176698.2411720511,-0.0,8.692467695844915,30.00000000000006
CARBON_CAP_060,0.6,434956844.1386121,optimal,419423610.82595575,1118223164.0637522,65669665.394225046,-8.731149137020103e-08,1603316440.2839332,196829662.59387857,1043713.1007756157,95556020.0527041,27123908.800483823,532979712.477234,434956844.1386118,1428319843.796184,1424630507.9857364,0.9974170100440234,0.5,0.6182325555418211,2304360220.4629703,1424630507.9857364,1137313.1874750436,3689335.8104475634,166843.66207882378,-2.910383045673368e-10,17.26629623759032,40.00000000000004
CARBON_CAP_050,0.5,362464036.78217673,optimal,343229026.28406966,1371294499.7949488,55958043.611679755,-0.0,1770481569.6906984,152239684.59511974,1043713.1007756034,88261714.72374606,22603257.33373652,434928156.3752179,362464036.7821765,1557676448.4697096,1553987112.659262,0.9976315133902987,0.5,0.6653295458307051,2335665269.0344796,1553987112.659262,718266.269127637,3689335.8104475206,142169.82624918636,-0.0,29.49272583880951,50.000000000000036
CARBON_CAP_040,0.4,289971229.4257414,optimal,277741419.94024456,1627309640.629082,41643084.89208688,304400.6000218994,1946389744.8613915,121459218.8022117,1043713.1007756115,76965303.6765373,18082605.866989225,341152217.2066877,289971229.4257413,1689269396.6107764,1685580060.8003285,0.9978160169018334,0.5,0.7096560040486838,2375207214.7404737,1685580060.8003285,308479.22297234525,3689335.810447549,105800.52055916381,1014.6686667396646,42.35862034465476,60.00000000000001
