scenario_id,status,total_cost_cny,grid_cost_cny,gas_cost_cny,curtailment_cost_cny,carbon_cost_cny,battery_om_cost_cny,battery_degradation_cost_cny,electrolyzer_om_cost_cny,h2_external_supply_cost_cny,h2_sale_revenue_cny,fuel_cell_om_cost_cny,carbon_cap_excess_cost_cny,grid_purchase_kwh,renewable_available_kwh,renewable_used_kwh,renewable_consumption_rate,renewable_min_consumption_rate,renewable_curtailment_kwh,gas_consumption_m3,heat_pump_heat_kwh,gas_boiler_heat_kwh,carbon_emission_kg,battery_charge_kwh,battery_discharge_kwh,battery_soc_min_kwh,battery_soc_max_kwh,battery_terminal_delta_kwh,hydrogen_load_kg,electrolyzer_power_kwh,h2_production_kg,h2_external_supply_kg,h2_sale_kg,h2_fuel_cell_kg,fuel_cell_generation_kwh,h2_storage_min_kg,h2_storage_max_kg,max_power_balance_residual_kw,max_heat_balance_residual_kw,max_hydrogen_balance_residual_kg,max_fuel_cell_conversion_residual_kw,carbon_emission_cap_kg,carbon_cap_excess_kg
S0,optimal,2264807.5449245754,1456125.6294,808681.9155245754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310808.0,0.0,0.0,0.0,0.9,0.0,273943.73832133313,0.0,2577312.0,2859290.8739740793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958904.1095890411,1900386.764385038
S1,optimal,2149626.2649245756,1340944.3494,808681.9155245754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3011354.0,299454.0,299454.0,1.0,0.9,0.0,273943.73832133313,0.0,2577312.0,2654194.8293740796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958904.1095890411,1695290.7197850381
S2,optimal,2050028.580714049,1198005.8757157894,808681.9155245754,0.0,0.0,0.0,43340.78947368421,0.0,0.0,0.0,0.0,0.0,3051893.4736842103,299454.0,299454.0,1.0,0.9,0.0,273943.73832133313,0.0,2577312.0,2681960.3149003955,415789.47368421056,375250.0,-0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0913936421275139e-11,0.0,0.0,0.0,958904.1095890411,1723056.2053113538
S3,optimal,2416700.029948726,1545483.9175771116,808681.9155245754,0.0,0.0,0.0,43340.78947368421,19193.40737335457,0.0,0.0,0.0,0.0,4104866.900042704,299454.0,299454.0,1.0,0.9,0.0,273943.73832133313,0.0,2577312.0,3403141.8146133274,415789.47368421056,375250.0,0.0,200000.0,0.0,24189.56,1052973.4263584935,19193.40737335457,0.0,0.0,0.0,0.0,0.0,5887.287564891595,7.275957614183426e-12,0.0,4.547473508864641e-13,0.0,958904.1095890411,2444237.705024286
S4,optimal,2050798.491041518,1934932.1066725568,53332.18752192241,0.0,0.0,0.0,43340.78947368421,19193.40737335457,0.0,0.0,-5.820766091346741e-13,0.0,5001468.439936345,299454.0,299454.0,1.0,0.9,0.0,18066.459187643093,2407339.5,169972.5,3464529.286357711,415789.47368421056,375250.0,0.0,200000.0,0.0,24189.56,1052973.4263584935,19193.40737335457,0.0,0.0,0.0,-7.275957614183426e-12,0.0,5887.287564891595,4.3655745685100555e-11,0.0,4.547473508864641e-13,7.275957614183426e-12,958904.1095890411,2505625.1767686703
S5,optimal,2266617.164260034,1902802.1066725568,85576.71090476586,0.0,215704.14983567232,0.0,43340.78947368421,19193.40737335457,0.0,0.0,-5.820766091346741e-13,0.0,4958968.439936345,299454.0,299454.0,1.0,0.9,0.0,28989.40071299656,2304574.5,272737.5,3459014.5900524748,415789.47368421056,375250.0,0.0,200000.0,0.0,24189.56,1052973.4263584935,19193.40737335457,0.0,0.0,0.0,-7.275957614183426e-12,0.0,5887.287564891595,4.3655745685100555e-11,0.0,4.547473508864641e-13,7.275957614183426e-12,958904.1095890411,2500110.4804634335
