capacity_variable,capacity_name,unit,capacity_value
wind_capacity_kw,风电装机,kW,30000.0
pv_capacity_kw,光伏装机,kW,10099.550729478424
battery_power_capacity_kw,电池功率,kW,129.20760378634174
battery_energy_capacity_kwh,电池容量,kWh,245.49444719404934
electrolyzer_power_capacity_kw,电解槽功率,kW,3818.2923962136574
h2_storage_capacity_kg,储氢容量,kg,373.902837776575
fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
heat_pump_power_capacity_kw,热泵功率,kW,3363.75
