uncertainty_case_id,annual_operation_cost_cny,annualized_investment_cost_cny,annual_total_cost_cny,annual_grid_purchase_kwh,annual_carbon_emission_kg,annual_renewable_available_kwh,annual_renewable_used_kwh,annual_renewable_consumption_rate,annual_h2_external_supply_kg,is_worst_case
NORMAL,4353524.362276083,23524062.90049016,27877587.262766242,0.0,0.0,137287143.62276083,96635400.0,0.7038925674317753,0.0,False
PV_LOW,4353524.362276083,23524062.90049016,27877587.262766242,1205755.2141522863,781208.8032492663,130297850.53593259,95439074.24760771,0.7324685238862649,0.0,False
WIND_LOW,4353524.362276079,23524062.90049016,27877587.262766242,4915955.142039413,3185047.336527336,108789768.62276083,91728967.84311913,0.8431764218673753,0.0,False
LOAD_HIGH,4353524.362276085,23524062.90049016,27877587.262766246,1586408.2374122948,1071690.3300274117,137287143.62276083,103162736.85404465,0.7514377102747245,0.0,False
H2_HIGH,4353524.3622760875,23524062.90049016,27877587.26276625,712142.4384649731,461397.0858814561,137287143.62276083,100437257.58440442,0.7315853104234367,0.0,True
EXTREME,4353524.362276074,23524062.90049016,27877587.262766235,8285283.219830961,5493006.426699908,101800475.5359326,101687833.0359326,0.9988934973102337,0.0,False
