typical_day_id,hour,weight_days,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,carbon_emission_kg
TD_SUMMER,0,120,5979.999999999999,3720.0,15.0,0.0,-0.0,0.0,9200.374713478563,0.0,1240.0,3720.0,0.0,-0.0,0.0,422.24357076504384,17.274312166113305,2402.618284243607,46.204197773915524,31.204197773915524,0.0,153.0416490183695,0.0,-0.0,0.0,-0.0
TD_SUMMER,1,120,5750.0,3660.0,15.0,0.0,-0.0,0.0,9857.544335869889,0.0,1220.0,3660.0,0.0,-0.0,0.0,16.41059655780764,0.0,2903.954932427696,55.84528716207108,40.84528716207108,0.0,193.88693618044059,0.0,-0.0,0.0,-0.0
TD_SUMMER,2,120,5520.0,3600.0,15.0,0.0,0.0,-0.0,9623.954932427696,890.7590258335185,1200.0,3600.0,0.0,-0.0,0.0,0.0,-0.0,2903.954932427696,55.845287162071074,40.845287162071074,0.0,234.73222334251167,0.0,-0.0,0.0,-0.0
TD_SUMMER,3,120,5405.0,3540.0,15.0,0.0,0.0,-0.0,9952.793273723702,1000.0337661317299,1180.0,3540.0,0.0,-0.0,463.83834129600706,0.0,440.6464242312067,2903.954932427696,55.845287162071074,40.845287162071074,0.0,275.57751050458273,0.0,-0.0,0.0,-0.0
TD_SUMMER,4,120,5520.0,3480.0,20.0,0.0,0.0,-0.0,10092.203388523048,1298.7367329266017,1160.0,3480.0,0.0,-0.0,508.2484560953535,0.0,923.4824575217925,2903.954932427696,55.845287162071074,35.845287162071074,0.0,311.4227976666538,0.0,-0.0,0.0,-0.0
TD_SUMMER,5,120,5979.999999999999,3600.0,25.0,0.0,116.09412644053874,0.0,9967.860805987157,984.9662338682756,1200.0,3600.0,0.0,-0.0,-0.0,0.0,923.4824575217925,2903.954932427696,55.845287162071074,30.845287162071074,0.0,342.2680848287249,0.0,-0.0,0.0,-0.0
TD_SUMMER,6,120,7129.999999999999,3900.0,40.0,0.0,696.5647586432325,0.0,10076.600876666998,0.0,1300.0,3900.0,0.0,-0.0,0.0,0.0,923.4824575217925,2343.1656353102317,45.06087760211984,5.06087760211984,0.0,347.3289624308452,0.0,-0.0,0.0,-0.0
TD_SUMMER,7,120,8049.999999999999,4200.0,50.0,0.0,1741.4118966080812,0.0,8762.261631884347,0.0,1400.0,4200.0,0.0,-0.0,0.0,0.0,923.4824575217925,1053.673528492427,20.262952471008212,0.0,29.737047528991788,317.59191490185367,0.0,-0.0,0.0,-0.0
TD_SUMMER,8,120,8740.0,4080.0,55.0,0.0,3192.5884771148158,0.0,7886.035468695911,0.0,1360.0,4080.0,0.0,-0.0,0.0,0.0,923.4824575217925,978.6239458107266,18.819691265590897,0.0,36.1803087344091,281.41160616744446,0.0,-0.0,0.0,-0.0
TD_SUMMER,9,120,9315.0,3600.0,55.0,0.0,4353.529741520203,0.0,7009.809305507477,0.0,1200.0,3600.0,0.0,-0.0,0.0,0.0,923.4824575217925,848.3390470276809,16.314212442840017,0.0,38.68578755715998,242.7258186102847,0.0,-0.0,0.0,-0.0
TD_SUMMER,10,120,9545.0,3120.0,45.0,0.0,5108.141563383705,0.0,6571.696223913259,0.0,1040.0,3120.0,0.0,-0.0,0.0,0.0,923.4824575217925,1094.8377872969638,21.054572832633923,0.0,23.945427167366077,218.78039144291847,0.0,-0.0,0.0,-0.0
TD_SUMMER,11,120,9430.0,2880.0,35.0,0.0,5514.47100592559,0.0,6133.583142319043,0.0,960.0,2880.0,0.0,-0.0,0.0,0.0,923.4824575217925,1258.0541482446333,24.193349004704487,0.0,10.806650995295513,207.97374044762307,0.0,-0.0,0.0,-0.0
TD_SUMMER,12,120,9200.0,2760.0,30.0,0.0,5224.235689824244,0.0,6571.696223913259,0.0,920.0,2760.0,0.0,-0.0,0.0,0.0,923.4824575217925,1675.9319137375032,32.22945987956737,2.22945987956737,0.0,210.20320032719042,0.0,-0.0,0.0,-0.0
TD_SUMMER,13,120,9085.0,2760.0,30.0,0.0,4527.670931181011,0.0,7447.922387101695,0.0,920.0,2760.0,0.0,-0.0,0.0,0.0,923.4824575217925,1970.5933182827057,37.896025351590495,7.896025351590494,0.0,218.09922567878084,0.0,-0.0,0.0,-0.0
TD_SUMMER,14,120,9200.0,2880.0,35.0,0.0,3366.7296667756236,0.0,8324.148550290129,0.0,960.0,2880.0,0.0,-0.0,0.0,0.0,923.4824575217925,1530.8782170657523,29.43996571280293,0.0,5.5600342871970705,212.5391913915838,0.0,-0.0,0.0,-0.0
TD_SUMMER,15,120,9545.0,3120.0,40.0,0.0,2031.647212709428,0.0,9200.374713478563,0.0,1040.0,3120.0,0.0,-0.0,-0.0,0.0,923.4824575217925,647.0219261879902,12.442729349769042,0.0,27.557270650230958,184.9819207413529,0.0,-0.0,0.0,-0.0
TD_SUMMER,16,120,9890.0,3420.0,50.0,694.947446283987,696.5647586432325,0.0,9638.48779507278,0.0,1140.0,3420.0,0.0,-0.0,0.0,-0.0,923.4824575217925,0.0,-0.0,0.0,50.0,134.9819207413529,0.0,-0.0,-0.0,450.2564504473952
TD_SUMMER,17,120,10350.0,3840.0,60.0,849.1885775450055,116.09412644053874,0.0,10295.657417464106,0.0,1280.0,3840.0,0.0,-0.0,0.0,369.0598785503494,534.9983748372142,0.0,-0.0,0.0,60.0,74.98192074135288,0.0,-0.0,-0.0,550.1892793914091
