case_id,carbon_cap_ratio,annual_carbon_cap_kg,status,annual_operation_cost_cny,annualized_investment_cost_cny,annual_total_cost_cny,annual_grid_cost_cny,annual_gas_cost_cny,annual_carbon_cost_cny,annual_grid_purchase_kwh,annual_carbon_emission_kg,annual_renewable_available_kwh,annual_renewable_used_kwh,annual_renewable_consumption_rate,annual_h2_external_supply_kg,cost_increase_vs_baseline_pct,carbon_reduction_vs_baseline_pct
CARBON_CAP_100,1.0,1466714.3435563834,optimal,1497294.7515625095,16980289.32604686,18477584.07760937,876527.1101544383,10780.834072759537,91522.97503791846,2251816.8591202325,1466714.343556386,96624115.06762514,94425140.26899067,0.9772419670069377,0.0,2.0161132985865393e-14,-1.7461730646081398e-13
CARBON_CAP_090,0.9,1320042.9092007452,optimal,1443789.3485419918,17059971.60993657,18503760.958478563,791059.9287952392,10780.834072759537,82370.6775341263,2025437.1178705897,1320042.909200742,97252341.70211905,94661289.84156208,0.9733574347392756,0.0,0.14166830879646922,10.000000000000215
CARBON_CAP_080,0.8,1173371.4748451067,optimal,1329688.8615126256,17216692.5084926,18546381.370005228,659200.6871096597,10780.834072759537,73218.38003033449,1799057.3766209555,1173371.474845104,97725579.4045889,94911061.76218677,0.9711997855674012,0.0,0.37232839589254874,20.00000000000019
CARBON_CAP_070,0.7,1026700.0404894683,optimal,1278357.9111054032,17317261.77098766,18595619.68209306,577180.6598909146,10780.834072759537,64066.08252654271,1572677.6353713223,1026700.0404894666,98348914.9913438,95138974.06430611,0.9673617047293281,0.0,0.638804315477185,30.00000000000012
CARBON_CAP_060,0.6,880028.60613383,optimal,1261598.155901685,17391562.761294782,18653160.917196468,521191.99995599256,10780.834072759537,54913.785022750955,1346297.8941216893,880028.6061338292,99055310.81086138,95369344.15108672,0.9627888032494014,0.0,0.9502153466039918,40.00000000000006
CARBON_CAP_050,0.5,733357.1717781917,optimal,1244838.4006979675,17465863.751601905,18710702.152299874,465203.3400210694,10780.834072759537,45761.48751895927,1119918.152872058,733357.1717781934,99761706.63037898,95599714.23786733,0.9582806616577642,0.0,1.2616263777307986,49.999999999999886
CARBON_CAP_040,0.4,586685.7374225534,optimal,1228136.6579810688,17540164.741909023,18768301.39989009,409214.68008614494,10780.834072759537,36609.19001516727,893538.4116224194,586685.7374225524,100468102.44989653,95830694.15941504,0.9538419838993757,0.0,1.5733513702855066,60.000000000000064
