scenario_id,status,total_cost_cny,grid_cost_cny,gas_cost_cny,curtailment_cost_cny,carbon_cost_cny,battery_om_cost_cny,electrolyzer_om_cost_cny,h2_external_supply_cost_cny,fuel_cell_om_cost_cny,grid_purchase_kwh,renewable_used_kwh,renewable_curtailment_kwh,gas_consumption_m3,carbon_emission_kg,battery_charge_kwh,battery_discharge_kwh,battery_soc_min_kwh,battery_soc_max_kwh,battery_terminal_delta_kwh,hydrogen_load_kg,h2_production_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_generation_kwh,h2_storage_min_kg,h2_storage_max_kg,max_power_balance_residual_kw,max_heat_balance_residual_kw,max_hydrogen_balance_residual_kg,max_fuel_cell_conversion_residual_kw,case_label,study_id,study_title,base_scenario_id,x_label,x_value
R0,optimal,76086.32836049965,69136.71522807017,0.0,0.0,6059.08681664,400.5263157894737,490.00000000000017,0.0,0.0,149869.96491228073,92796.0,0.0,0.0,97100.75026666667,21052.63157894737,19000.0,0.0,10000.0,0.0,790.0,490.00000000000017,0.0,0.0,0.0,0.0,393.8461538461538,2.7284841053187847e-12,0.0,1.4210854715202004e-14,0.0,0.6 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.6
R1,optimal,59533.019769779654,53833.955228070176,0.0,0.0,4808.5382259200005,400.5263157894737,490.00000000000017,0.0,0.0,118937.9649122807,123728.0,0.0,0.0,77059.90746666667,21052.63157894737,19000.0,0.0,10000.0,0.0,790.0,490.0000000000002,0.0,0.0,0.0,0.0,393.8461538461538,2.7284841053187847e-12,0.0,1.4210854715202004e-14,0.0,0.8 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,0.8
R2,optimal,43362.68717905965,38914.171228070176,0.0,0.0,3557.9896352,400.5263157894737,490.00000000000017,0.0,0.0,88005.9649122807,154660.0,0.0,0.0,57019.06466666667,21052.63157894737,19000.0,0.0,10000.000000000004,0.0,790.0,490.00000000000017,0.0,0.0,0.0,0.0,393.8461538461538,2.7284841053187847e-12,0.0,1.4210854715202004e-14,0.0,1.0 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.0
R3,optimal,27196.549255006314,23998.58189473684,0.0,0.0,2307.44104448,400.52631578947376,490.00000000000017,0.0,0.0,57073.964912280695,185592.0,0.0,0.0,36978.22186666667,21052.63157894737,19000.000000000004,0.0,10000.0,0.0,790.0,490.0000000000002,0.0,0.0,0.0,0.0,393.8461538461538,2.7284841053187847e-12,0.0,1.4210854715202004e-14,0.0,1.2 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.2
R4,optimal,9578.69318187405,7560.003416435824,0.0,598.7017543859647,648.9169122526313,281.0710987996306,490.00000000000006,0.0,0.0,16050.794090489373,226002.98245614034,5987.017543859647,0.0,10399.309491228065,14773.776546629728,13333.333333333328,0.0,10000.0,0.0,790.0,490.0000000000001,0.0,0.0,0.0,0.0,315.0,1.5916157281026244e-12,0.0,4.263256414560601e-14,0.0,1.5 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,1.5
R5,optimal,6145.605866183679,0.0,0.0,5231.961218836565,0.0,120.37221144967685,793.2724358974361,0.0,0.0,0.0,257000.38781163434,52319.61218836565,0.0,0.0,6327.054478301017,5710.166666666667,4052.6315789473692,10000.0,0.0,790.0,793.272435897436,0.0,0.0,0.0,243.65705128205124,425.7692307692307,1.3642420526593924e-12,0.0,1.4210854715202004e-14,0.0,2.0 倍,renewable_scale_sensitivity,新能源出力比例敏感性,S5,风光可发功率倍率,2.0
