robust_day_id,typical_day_id,uncertainty_case_id,weight_days,total_cost_cny,grid_purchase_kwh,grid_sell_kwh,renewable_available_kwh,renewable_used_kwh,renewable_sold_kwh,renewable_curtailment_kwh,renewable_consumption_rate,green_power_share,electricity_demand_kwh,carbon_emission_kg,heat_pump_heat_kwh,gas_boiler_heat_kwh,h2_production_kg,h2_external_supply_kg,fuel_cell_generation_kwh,weighted_total_cost_cny,weighted_grid_purchase_kwh,weighted_grid_sell_kwh,weighted_electricity_demand_kwh,weighted_green_power_kwh,weighted_carbon_emission_kg,weighted_heat_pump_heat_kwh,weighted_h2_production_kg
TD_SUMMER__EXTREME,TD_SUMMER,EXTREME,120.0,5130.304288702105,6024.057964396536,0.0,292087.47142708465,292087.47142708465,0.0,0.0,1.0,0.9776347408050406,298769.52939148113,4660.483476326459,96147.0,3489.0,1027.2125187433817,0.0,0.0,615636.5146442526,722886.9557275843,0.0,35852343.52697773,35050496.571250156,559258.0171591751,11537640.0,123265.5022492058
TD_WINTER__EXTREME,TD_WINTER,EXTREME,120.0,15865.56228804654,25853.02953744552,0.0,292087.47142708465,292087.47142708465,0.0,0.0,1.0,0.9149933480624429,319223.6009645301,20211.677513310082,208237.46069603972,15943.539303960284,1027.2623362722184,0.0,0.0,1903867.4745655847,3102363.5444934624,0.0,38306832.11574361,35050496.571250156,2425401.3015972096,24988495.283524767,123271.4803526662
TD_TRANSITION__EXTREME,TD_TRANSITION,EXTREME,125.0,2465.654033797849,1448.7363924379988,5133.69842386601,292087.47142708465,286953.77300321864,5133.69842386601,0.0,0.9824241060433585,0.9927117806688898,289060.50939565664,1274.7223806606437,147906.0,1547.999999999999,1027.1739253063756,0.0,0.0,308206.7542247311,181092.04905474986,641712.3029832512,36132563.67445708,35869221.62540233,159340.29758258048,18488250.0,128396.74066329695
