stochastic_day_id,typical_day_id,uncertainty_case_id,weight_days,total_cost_cny,grid_purchase_kwh,grid_sell_kwh,renewable_available_kwh,renewable_used_kwh,renewable_sold_kwh,renewable_curtailment_kwh,renewable_consumption_rate,green_power_share,electricity_demand_kwh,carbon_emission_kg,heat_pump_heat_kwh,gas_boiler_heat_kwh,h2_production_kg,h2_external_supply_kg,fuel_cell_generation_kwh,weighted_total_cost_cny,weighted_grid_purchase_kwh,weighted_grid_sell_kwh,weighted_electricity_demand_kwh,weighted_green_power_kwh,weighted_carbon_emission_kg,weighted_heat_pump_heat_kwh,weighted_h2_production_kg
TD_SUMMER__NORMAL,TD_SUMMER,NORMAL,88.23529411764706,1438015.8860858327,2486736.1089651086,37584.166918866744,3117209.5143954786,3079625.347476612,37584.166918866744,0.0,0.9879430090453335,0.5184722580625563,5939807.385229548,1809376.824592965,1083769.289988005,462617.91001199477,24197.232812117923,0.0,0.0,126883754.6546323,219417891.9675096,3316250.022252948,524100651.6379013,271731648.3067599,159650896.28761455,95626702.05776516,2135049.954010405
TD_SUMMER__LOAD_HIGH,TD_SUMMER,LOAD_HIGH,17.647058823529413,1714281.2996408176,2753461.501546531,19101.131035093393,3117209.5143954786,3098108.3833603854,19101.131035093393,0.0,0.9938723621409203,0.4996279805110063,6200830.426253794,2081888.9489854944,847132.6797594513,853893.2402405487,24197.049527804942,0.0,0.0,30252022.93483796,48590497.086115256,337078.78297223634,109426419.28683166,54672500.88283034,36739216.746802844,14949400.23104914,427006.75637302845
TD_SUMMER__EXTREME,TD_SUMMER,EXTREME,14.117647058823529,2408680.2894719546,3794439.096256407,0.0,2182046.660076835,2182046.660076835,0.0,0.0,1.0,0.3490461471895068,6251456.082946368,2865459.0234782826,616924.2472562436,1161421.0327437562,28516.17524405923,2938.011237958319,0.0,34004898.20430995,53568551.94714928,0.0,88255850.58277224,30805364.612849437,40453539.15498752,8709518.784794027,402581.2975631891
TD_WINTER__NORMAL,TD_WINTER,NORMAL,88.23529411764706,1733217.2060886452,2500041.4774900973,28860.262121699925,3117209.514395479,3088349.2522737794,28860.262121699925,0.0,0.9907416354311697,0.517510151376941,5967707.5784051735,2038249.884014268,2059557.1621117736,1419814.0378882268,24197.10525935045,0.0,0.0,152930929.9489981,220591895.07265565,2546493.7166205817,526562433.3886918,272501404.6123923,179845578.00125894,181725631.95103884,2135038.6993544516
TD_WINTER__LOAD_HIGH,TD_WINTER,LOAD_HIGH,17.647058823529413,2053697.702907447,2777225.8610260193,10464.199949182337,3117209.514395479,3106745.3144462965,10464.199949182337,0.0,0.9966430873828473,0.49841646445828947,6233231.716819194,2336717.6795986043,1934366.4430960692,1892941.8769039314,24197.083573278964,0.0,0.0,36241724.168954946,49009868.13575329,184662.3520443942,109998206.76739755,54824917.31375818,41236194.345857725,34135878.40757769,427007.35717551113
TD_WINTER__EXTREME,TD_WINTER,EXTREME,14.117647058823529,2808669.6927779918,3798700.8029987887,0.0,2182046.660076835,2182046.660076835,0.0,0.0,1.0,0.349387058995307,6245356.271498724,3085130.1903377175,1895760.995969934,2105515.8840300664,26497.324598664265,4955.850647200808,0.0,39651807.427454,53628717.21880642,0.0,88169735.59762904,30805364.612849437,43554779.15770895,26763684.6489873,374079.8766870249
TD_TRANSITION__NORMAL,TD_TRANSITION,NORMAL,91.91176470588235,1298422.7279941475,2265177.445482421,94675.68968171201,3117209.5143954786,3022533.8247137666,94675.68968171201,0.0,0.9696280634187424,0.5348193924627487,5651503.792327973,1698835.9465492833,1677490.3115377957,642090.4884622046,24197.28001620489,0.0,0.0,119340324.26416796,208196456.38625193,8701809.713392647,519439686.7948504,277806417.71266234,156143009.79313266,154181094.81045917,2224014.707371773
TD_TRANSITION__LOAD_HIGH,TD_TRANSITION,LOAD_HIGH,18.38235294117647,1528398.503653642,2516418.3969035354,32758.54742433998,3117209.514395479,3084450.966971139,32758.54742433998,0.0,0.9894910665218174,0.5177423503596239,5957501.766715972,1933189.3143519885,1638185.9955749086,913352.8844250917,24197.125726786675,0.0,0.0,28095560.728927244,46257691.11955028,602179.1805944849,109512900.12345536,56699466.304616526,35536568.278529204,30113713.153950527,444800.10527181387
TD_TRANSITION__EXTREME,TD_TRANSITION,EXTREME,14.705882352941176,2171021.068218806,3542491.1717668055,0.0,2182046.660076835,2182046.660076835,0.0,0.0,1.0,0.3629716896997929,6011616.668731287,2799235.2540574074,1042938.4402834098,1624579.4797165901,31282.458474797204,173.29023601775043,0.0,31926780.414982438,52095458.40833537,0.0,88406127.48134245,32088921.471718162,41165224.32437363,15337330.00416779,460036.15404113533
