capacity_variable,capacity_name,unit,capacity_value
wind_capacity_kw,风电装机,kW,0.0
pv_capacity_kw,光伏装机,kW,1667046.1064203857
battery_power_capacity_kw,电池功率,kW,111540.3421298493
battery_energy_capacity_kwh,电池容量,kWh,367642.67510197614
electrolyzer_power_capacity_kw,电解槽功率,kW,200000.0
h2_storage_capacity_kg,储氢容量,kg,25426.023887614796
fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
heat_pump_power_capacity_kw,热泵功率,kW,44943.6783074178
