scenario_id,hour,electric_load_kw,heat_load_kw,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,is_heat_pump_on,gas_boiler_heat_kw,gas_consumption_m3,carbon_emission_kg,power_balance_residual_kw,heat_balance_residual_kw
S0,0,5200.0,6200.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6200.0,687.6663708961844,4854.439361135759,0.0,0.0
S0,1,5000.0,6100.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100.0,676.5749778172137,4700.901952085182,0.0,0.0
S0,2,4800.0,6000.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,4547.364543034605,0.0,0.0
S0,3,4700.0,5900.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900.0,654.3921916592723,4458.617133984028,0.0,0.0
S0,4,4800.0,5800.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.0,643.3007985803016,4499.449724933452,0.0,0.0
S0,5,5200.0,6000.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,4806.524543034605,0.0,0.0
S0,6,6200.0,6500.0,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,720.9405501330966,5574.211588287489,0.0,0.0
S0,7,7000.0,7000.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,776.3975155279502,6212.3186335403725,0.0,0.0
S0,8,7600.0,6800.0,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,754.2147293700087,6553.143815439219,0.0,0.0
S0,9,8100.0,6000.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,6685.434543034606,0.0,0.0
S0,10,8300.0,5200.0,8300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,576.7524401064773,6623.3552706299915,0.0,0.0
