typical_day_id,hour,weight_days,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,grid_sell_kw,pv_used_kw,pv_sold_kw,pv_curtail_kw,wind_used_kw,wind_sold_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,carbon_emission_kg
TD_SUMMER,0,120,144526.94,67200.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27113.173290296552,67200.0,0.0,0.0,3412.3822109188623,0.0,116855.94542160345,0.0,0.0,0.0,923.9400000000014,6963.07425505598,0.0,1.3642420526593924e-12,0.0,119893.45416878241
TD_SUMMER,1,120,144526.94,67200.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27184.466019417476,67200.0,0.0,0.0,3341.089481797772,0.0,120029.98042931133,1.5590812302591127e-10,3.1082359927178874e-12,0.0,923.939999999996,6038.8441269620225,0.0,-9.844901652602897e-13,0.0,119893.45416878241
TD_SUMMER,2,120,144526.94,67200.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27300.42656916514,67200.0,0.0,0.0,3225.1289320502697,0.0,123093.85291475909,0.0,0.0,0.0,923.9400000000005,5114.652508456732,0.0,0.0,0.0,119893.45416878241
TD_SUMMER,3,120,144526.94,67200.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27445.374719215844,67200.0,0.0,0.0,3080.1807819995615,0.0,126020.02465765868,0.0,0.0,0.0,923.9400000000005,4190.499397935546,0.0,4.547473508864641e-13,0.0,119893.45416878241
TD_SUMMER,4,120,144526.94,67200.0,923.94,172289.79891344765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27762.858913447635,67200.0,0.0,0.0,0.0,0.0,126020.02465765868,0.0,0.0,0.0,923.94,3266.384793793965,0.0,0.0,0.0,118001.28327582029
TD_SUMMER,5,120,155405.25,67200.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,19647.24550121541,46839.033274897534,20360.966725102466,2164.176995455281,0.0,0.0,126020.02465765868,0.0,0.0,0.0,923.94,2342.3086944275565,0.0,0.0,0.0,124568.07647896581
TD_SUMMER,6,120,155405.25,67200.0,923.94,81131.89950371646,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,67200.0,7142.720483664215,0.0,74273.35049628354,47837.55045104444,0.0,0.0,0.0,923.94,1418.271098231955,0.0,0.0,0.0,70995.5142148101
TD_SUMMER,7,120,155405.25,67200.0,1078.94,56547.488692323925,-0.0,53412.08837918386,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,67200.0,7142.720483664215,0.0,45445.67292849222,0.0,0.0,0.0,0.0,1078.94,339.27200360286184,0.0,0.0,0.0,54157.651250087365
TD_SUMMER,8,120,166283.675,67200.0,1078.94,0.0,0.0,230059.0241491803,0.0,0.0,0.0,0.0,0.0,26051.56037991859,67200.0,0.0,0.0,4.5465261974961983e-13,0.0,0.0,37723.78876926171,739.6821327306217,0.0,339.2578672693784,0.0,0.0,0.0,0.0,0.0
TD_SUMMER,9,120,166283.675,65836.8,1078.94,0.0,0.0,372336.44217952795,0.0,0.0,0.0,0.0,0.0,24438.307349665927,65836.8,0.0,0.0,7.353472547295928e-12,0.0,0.0,181614.45982986203,3331.3243800124555,2252.3843800124555,0.0,2252.3843800124555,0.0,-5.684341886080802e-14,0.0,0.0
TD_SUMMER,10,120,166283.675,62633.399999999994,1078.94,0.0,0.0,461821.0424205954,0.0,0.0,0.0,0.0,0.0,22043.14774406982,62633.399999999994,0.0,0.0,73494.21967652562,0.0,69819.50869269934,200000.0,3637.750049514755,2558.8100495147555,0.0,4811.100580178044,0.0,-3.979039320256561e-13,0.0,0.0
