capacity_variable,capacity_name,unit,capacity_value
wind_capacity_kw,风电装机,kW,0.0
pv_capacity_kw,光伏装机,kW,1548176.4747589522
battery_power_capacity_kw,电池功率,kW,75464.96345051126
battery_energy_capacity_kwh,电池容量,kWh,227228.36464246106
electrolyzer_power_capacity_kw,电解槽功率,kW,200000.0
h2_storage_capacity_kg,储氢容量,kg,26291.142981144156
fuel_cell_power_capacity_kw,燃料电池功率,kW,0.0
heat_pump_power_capacity_kw,热泵功率,kW,44078.2594308405
