scenario_id,status,total_cost_cny,grid_cost_cny,gas_cost_cny,curtailment_cost_cny,carbon_cost_cny,battery_om_cost_cny,electrolyzer_om_cost_cny,h2_external_supply_cost_cny,fuel_cell_om_cost_cny,grid_purchase_kwh,renewable_used_kwh,renewable_curtailment_kwh,gas_consumption_m3,carbon_emission_kg,battery_charge_kwh,battery_discharge_kwh,battery_soc_min_kwh,battery_soc_max_kwh,battery_terminal_delta_kwh,hydrogen_load_kg,h2_production_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_generation_kwh,h2_storage_min_kg,h2_storage_max_kg,max_power_balance_residual_kw,max_heat_balance_residual_kw,max_hydrogen_balance_residual_kg,max_fuel_cell_conversion_residual_kw,case_label,study_id,study_title,base_scenario_id,x_label,x_value
H0,optimal,28564.14756092631,25584.077894736838,0.0,0.0,2309.5433504,400.5263157894737,0.0,0.0,270.00000000000006,57125.96491228069,154660.0,0.0,0.0,37011.91266666666,21052.631578947374,19000.0,-9.094947017729282e-13,10000.000000000002,0.0,0.0,0.0,0.0,300.0,5400.000000000001,0.0,300.0,1.3642420526593924e-12,0.0,1.4210854715202004e-14,0.0,0.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.0
H1,optimal,34577.34300732631,31354.237894736838,0.0,0.0,2727.5787967999995,400.5263157894737,95.0,0.0,0.0,67465.9649122807,154660.0,0.0,0.0,43711.19866666666,21052.63157894737,19000.0,0.0,10000.000000000004,0.0,395.0,95.0,0.0,0.0,0.0,0.0,292.5,1.3642420526593924e-12,0.0,0.0,0.0,0.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,0.5
H2,optimal,43362.68717905965,38914.171228070176,0.0,0.0,3557.9896352,400.5263157894737,490.00000000000017,0.0,0.0,88005.9649122807,154660.0,0.0,0.0,57019.06466666667,21052.63157894737,19000.0,0.0,10000.000000000004,0.0,790.0,490.00000000000017,0.0,0.0,0.0,0.0,393.8461538461538,2.7284841053187847e-12,0.0,1.4210854715202004e-14,0.0,1.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,1.0
H3,optimal,61949.1866327213,53016.17122807017,0.0,0.0,4381.527550399999,400.5263157894737,881.7307692307693,3269.2307692308873,0.0,108375.9649122807,154660.0,0.0,0.0,70216.78766666667,21052.63157894737,19000.0,0.0,10000.0,0.0,1185.0,881.7307692307693,3.2692307692308873,0.0,0.0,0.0,373.2692307692307,2.7284841053187847e-12,0.0,1.4210854715202004e-14,0.0,1.5 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,1.5
H4,optimal,433483.63756576733,53897.93122807017,0.0,0.0,4432.8723296,400.5263157894737,906.1538461538463,373846.1538461539,0.0,109645.96491228069,154660.0,0.0,0.0,71039.62066666665,21052.63157894737,19000.0,0.0,10000.0,0.0,1580.0,906.1538461538462,373.8461538461538,0.0,0.0,0.0,333.8461538461538,2.7284841053187847e-12,0.0,2.842170943040401e-14,0.0,2.0 倍,hydrogen_load_sensitivity,氢负荷敏感性,S5,氢负荷倍率,2.0
